"No.","Time","Source","Destination","Protocol","Length","Info"
"151","4.182251177","fe80::dd1c:3f53:bec2:93b2","ff02::1:ffc2:93b2","ICMPv6","88","Multicast Listener Report"
"152","4.183320392","fe80::6b1:67ff:fedc:495d","ff02::1:ffdc:495d","ICMPv6","88","Multicast Listener Report"
"153","4.286432360","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) request  id=0x20f3, seq=2/512, ttl=64 (reply in 154)"
"154","4.286452008","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) reply    id=0x20f3, seq=2/512, ttl=64 (request in 153)"
"155","4.383353152","124.124.252.50","10.10.10.140","TCP","76","[TCP Out-Of-Order] 80  >  56148 [SYN, ACK] Seq=0 Ack=1 Win=27843 Len=0 MSS=1460 SACK_PERM=1 TSval=61711290 TSecr=2823455688 WS=128"
"156","4.383386465","10.10.10.140","124.124.252.50","TCP","68","[TCP Dup ACK 73#1] 56148  >  80 [ACK] Seq=294 Ack=1 Win=29312 Len=0 TSval=2823457856 TSecr=61711138"
"157","4.873199515","124.124.252.50","10.10.10.140","TCP","76","80  >  56152 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=61711389 TSecr=2823455938 WS=128"
"158","4.873263127","10.10.10.140","124.124.252.50","TCP","68","56152  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=2823458345 TSecr=61711389"
"159","4.913830430","fe80::1a0f:76ff:fe8d:1fb6","fe80::c662:d135:7792:5180","ICMPv6","144","Time Exceeded (hop limit exceeded in transit)"
"160","4.914143117","fe80::c662:d135:7792:5180","2001:4528:401::7c7c:fc32","TCP","96","50282  >  80 [SYN] Seq=0 Win=28800 Len=0 MSS=1440 SACK_PERM=1 TSval=386368237 TSecr=0 WS=128"
"161","4.926328042","fe80::c662:d135:7792:5180","2001:4528:401::7c7c:fc32","TCP","96","[TCP Retransmission] 50280  >  80 [SYN] Seq=0 Win=28800 Len=0 MSS=1440 SACK_PERM=1 TSval=386368250 TSecr=0 WS=128"
"162","5.216120731","fe80::726d:ecff:fe02:70","ff02::1","ICMPv6","88","Multicast Listener Query"
"163","5.299770187","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) request  id=0x20f3, seq=3/768, ttl=64 (reply in 164)"
"164","5.299790416","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) reply    id=0x20f3, seq=3/768, ttl=64 (request in 163)"
"165","5.336758741","10.10.15.16","224.0.0.22","IGMPv3","56","Membership Report / Leave group 224.0.0.252"
"166","5.338000686","fe80::1a45:a036:5929:7ef2","ff03::158","ICMPv6","88","Multicast Listener Report"
"167","5.443907123","124.124.252.50","10.10.10.140","TCP","76","[TCP Retransmission] 80  >  56148 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=61712173 TSecr=2823455688 WS=128"
"168","5.443941598","10.10.10.140","124.124.252.50","TCP","68","[TCP Dup ACK 73#2] 56148  >  80 [ACK] Seq=294 Ack=1 Win=29312 Len=0 TSval=2823458916 TSecr=61711138"
"169","5.443973529","fe80::1a0f:76ff:fe8d:1fb6","fe80::c662:d135:7792:5180","ICMPv6","144","Time Exceeded (hop limit exceeded in transit)"
